"# Sensor Luktvassvegen, Mosjøen - Mussere, Norway (Citizen Science project sensor.community/82574)"
# https://aqicn.org/station/@411634/
# Daily pm25
"date,min,max,median,q1,q3,stdev,count"
"2023-08-15T00:00:00.000Z,1.65,134.15,2.2,2.02,2.35,11.295,150"
"2023-08-16T00:00:00.000Z,0.6,3.9,1.9,1.52,2.22,0.524,585"
"2023-08-17T00:00:00.000Z,0.85,3.63,1.5,1.3,1.7,0.318,584"
"2023-08-18T00:00:00.000Z,1.2,2.67,1.6,1.5,1.8,0.228,576"
"2023-08-19T00:00:00.000Z,1,2.35,1.4,1.3,1.6,0.225,570"
"2023-08-20T00:00:00.000Z,0.82,2.92,1.5,1.3,1.9,0.408,565"
"2023-08-21T00:00:00.000Z,0.6,3.65,1.51,1.1,1.98,0.562,564"
"2023-08-22T00:00:00.000Z,0.75,6.9,1.5,1.27,2,1.357,571"
"2023-08-23T00:00:00.000Z,0.68,3.9,1.35,1.2,1.52,0.315,569"
"2023-08-24T00:00:00.000Z,0.82,6.47,1.5,1.2,2.29,1.148,580"
"2023-08-25T00:00:00.000Z,1.23,4.72,2.04,1.75,2.45,0.51,571"
"2023-08-26T00:00:00.000Z,1.17,3.22,2,1.7,2.27,0.392,571"
"2023-08-27T00:00:00.000Z,1.58,3.42,2.2,2.04,2.4,0.27,542"
"2023-08-28T00:00:00.000Z,0,3.88,1.73,1.58,1.95,0.476,559"
"2023-08-29T00:00:00.000Z,0,7.22,0.52,0.2,1.3,0.645,579"
"2023-08-30T00:00:00.000Z,0.77,5.72,1.42,1.25,1.65,0.433,572"
"2023-08-31T00:00:00.000Z,1,4.82,1.75,1.5,1.98,0.409,414"
"2023-09-01T00:00:00.000Z,1.1,6.63,2.02,1.73,2.97,0.818,570"
"2023-09-02T00:00:00.000Z,0.55,3.08,1.83,1.4,2.15,0.479,551"
"2023-09-03T00:00:00.000Z,0.1,3.85,1.5,1.2,1.7,0.452,575"
"2023-09-04T00:00:00.000Z,0.8,4.2,2.15,1.7,2.5,0.567,571"
"2023-09-05T00:00:00.000Z,0.4,3.75,1.8,1.5,2.2,0.526,550"
"2023-09-06T00:00:00.000Z,0.73,4.09,2,1.55,2.35,0.553,530"
"2023-09-07T00:00:00.000Z,0.9,6.95,1.98,1.73,2.38,0.518,549"
"2023-09-08T00:00:00.000Z,0.77,11.4,3.5,1.9,5.22,2.212,575"
"2023-09-09T00:00:00.000Z,2.33,10.93,5.5,3.9,6.97,1.993,471"
"2023-09-10T00:00:00.000Z,0.2,8.98,1.7,1.5,1.97,1.085,573"
"2023-09-18T00:00:00.000Z,0.47,7.82,1.1,0.85,1.42,0.599,562"
"2023-09-19T00:00:00.000Z,0,1.83,0.8,0.45,1.14,0.409,543"
"2023-09-20T00:00:00.000Z,0,1.75,0.1,0.08,0.2,0.191,545"
