date,pm25,pm10,city,suspect_spike
2025-11-01,19.0,7.0,tromso,False
2025-11-02,19.0,7.0,tromso,False
2025-11-03,20.0,5.0,tromso,False
2025-11-04,15.0,5.0,tromso,False
2025-11-05,16.0,5.0,tromso,False
2025-11-06,18.0,6.0,tromso,False
2025-11-07,20.0,3.0,tromso,False
2025-11-08,12.0,5.0,tromso,False
2025-11-09,14.0,,tromso,False
2025-11-14,16.0,4.0,tromso,False
2025-11-15,16.0,4.0,tromso,False
2025-11-16,16.0,7.0,tromso,False
2025-11-17,25.0,5.0,tromso,False
2025-11-18,18.0,,tromso,False
2025-10-01,20.0,16.0,tromso,False
2025-10-02,14.0,21.0,tromso,False
2025-10-03,17.0,15.0,tromso,False
2025-10-04,16.0,12.0,tromso,False
2025-10-05,20.0,23.0,tromso,False
2025-10-06,26.0,16.0,tromso,False
2025-10-07,14.0,38.0,tromso,False
2025-10-08,25.0,43.0,tromso,False
2025-10-09,22.0,36.0,tromso,False
2025-10-10,22.0,,tromso,False
2025-10-15,13.0,9.0,tromso,False
2025-10-16,22.0,5.0,tromso,False
2025-10-17,16.0,5.0,tromso,False
2025-10-18,15.0,4.0,tromso,False
2025-10-19,15.0,4.0,tromso,False
2025-10-20,14.0,6.0,tromso,False
2025-10-21,20.0,7.0,tromso,False
2025-10-22,21.0,6.0,tromso,False
2025-10-23,19.0,5.0,tromso,False
2025-10-24,18.0,8.0,tromso,False
2025-10-25,17.0,20.0,tromso,False
2025-10-26,14.0,12.0,tromso,False
2025-10-27,20.0,31.0,tromso,False
2025-10-28,23.0,80.0,tromso,False
2025-10-29,36.0,52.0,tromso,False
2025-10-30,31.0,9.0,tromso,False
2025-10-31,20.0,6.0,tromso,False
2025-07-01,22.0,17.0,tromso,False
2025-07-02,23.0,16.0,tromso,False
2025-07-03,22.0,18.0,tromso,False
2025-07-04,19.0,11.0,tromso,False
2025-07-05,15.0,8.0,tromso,False
2025-07-06,18.0,9.0,tromso,False
2025-07-07,19.0,14.0,tromso,False
2025-07-08,21.0,12.0,tromso,False
2025-07-09,21.0,15.0,tromso,False
2025-07-10,24.0,15.0,tromso,False
2025-07-11,25.0,8.0,tromso,False
2025-07-12,24.0,10.0,tromso,False
2025-07-13,22.0,13.0,tromso,False
2025-07-14,26.0,10.0,tromso,False
2025-07-15,22.0,16.0,tromso,False
2025-07-16,29.0,20.0,tromso,False
2025-07-17,29.0,20.0,tromso,False
2025-07-18,31.0,12.0,tromso,False
2025-07-19,31.0,15.0,tromso,False
2025-07-20,32.0,19.0,tromso,False
2025-07-21,28.0,17.0,tromso,False
2025-07-22,28.0,10.0,tromso,False
2025-07-23,15.0,15.0,tromso,False
2025-07-24,24.0,10.0,tromso,False
2025-07-25,26.0,9.0,tromso,False
2025-07-26,27.0,7.0,tromso,False
2025-07-27,19.0,10.0,tromso,False
2025-07-28,20.0,17.0,tromso,False
2025-07-29,23.0,11.0,tromso,False
2025-07-30,22.0,27.0,tromso,False
2025-07-31,35.0,30.0,tromso,False
2025-08-01,37.0,17.0,tromso,False
2025-08-02,37.0,5.0,tromso,False
2025-08-03,12.0,17.0,tromso,False
2025-08-04,20.0,17.0,tromso,False
2025-08-05,23.0,17.0,tromso,False
2025-08-06,16.0,10.0,tromso,False
2025-08-07,19.0,14.0,tromso,False
2025-08-08,23.0,10.0,tromso,False
2025-08-09,21.0,13.0,tromso,False
2025-08-10,23.0,10.0,tromso,False
2025-08-11,17.0,16.0,tromso,False
2025-08-12,21.0,19.0,tromso,False
2025-08-13,20.0,11.0,tromso,False
2025-08-14,18.0,4.0,tromso,False
2025-08-15,12.0,7.0,tromso,False
2025-08-16,16.0,8.0,tromso,False
2025-08-17,15.0,4.0,tromso,False
2025-08-18,11.0,9.0,tromso,False
2025-08-19,16.0,4.0,tromso,False
2025-08-20,13.0,8.0,tromso,False
